path,status,title,titleLen,h1,desc,descLen,canonical,robots,imgCount,imgsNoAlt,ldTypes,internalOut,bytes
"/","200","Heavy-Duty Truck Repair Shop in Charlotte, NC | EagleSpan","57","Heavy-Duty Truck Repair Shop in Charlotte, NC","EagleSpan Corporation provides professional heavy-duty truck repair & fleet services from our truck repair shop in Charlotte, NC. Call today!","141","","","45","0","AutoRepair","21","54012"
"/articles/5-diesel-battery-mistakes-that-can-leave-you-stranded-and-how-to-avoid-them","200","5 Diesel Battery Mistakes That Can Leave You Stranded (And How to Avoid Them)","77","5 Diesel Battery Mistakes That Can Leave You Stranded (And How to Avoid Them)","Using the wrong battery, ignoring corrosion, or missing parasitic drains can cause diesel trucks to fail. Regular checks at Eaglespan in Charlotte prevent downtime.","164","","","9","0","BlogPosting","21","32758"
"/articles/7-tire-maintenance-tips-to-prevent-blowouts-and-extend-tire-life","200","7 Tire Maintenance Tips to Prevent Blowouts and Extend Tire Life","64","7 Tire Maintenance Tips to Prevent Blowouts and Extend Tire Life","Proper tire maintenance reduces blowouts, extends tread life, and cuts costs. Follow these 7 tips to keep your heavy-duty truck tires safe and road-ready.","154","","","9","0","BlogPosting","21","32291"
"/articles/alternator-vs-battery-how-to-pinpoint-the-real-culprit-behind-electrical-failures","200","Alternator vs. Battery: How to Pinpoint the Real Culprit Behind Electrical Failures","83","Alternator vs. Battery: How to Pinpoint the Real Culprit Behind Electrical Failures","In modern diesel powertrains, electrical reliability is essential for compliance, telematics, and safety. When lights flicker or ECM resets, technicians must quickly identify if the alternator or battery is at fault. A proper diagnosis saves costs, reduces downtime, and boosts confidence.","289","","","9","0","BlogPosting","21","37553"
"/articles/from-u-joints-to-axle-shafts-how-driveline-problems-travel-down-to-your-axles","200","From U-Joints to Axle Shafts: How Driveline Problems Travel Down to Your Axles","78","From U-Joints to Axle Shafts: How Driveline Problems Travel Down to Your Axles","In heavy-duty trucks, driveline issues rarely stay isolated. Minor U-joint or driveshaft problems can lead to differential damage, twisted axles, costly repairs, and downtime. For trucks around Charlotte, NC, understanding failure progression is key to managing risks and costs.","278","","","9","0","BlogPosting","21","40026"
"/articles/how-misalignment-eats-tires-fuel-and-uptime-the-real-roi-of-a-fleet-alignment-program","200","How Misalignment Eats Tires, Fuel, and Uptime: The Real ROI of a Fleet Alignment Program","88","How Misalignment Eats Tires, Fuel, and Uptime: The Real ROI of a Fleet Alignment Program","Unchecked misalignment causes higher costs through increased tire wear, lower fuel efficiency, and more downtime. Proper fleet wheel alignment turns these hidden losses into savings, reliability, and safer handling.","215","","","9","0","BlogPosting","21","40214"
"/articles/the-ultimate-guide-to-maintaining-heavy-duty-truck-suspension-systems","200","The Ultimate Guide to Maintaining Heavy-Duty Truck Suspension Systems","69","The Ultimate Guide to Maintaining Heavy-Duty Truck Suspension Systems","Maintain your heavy-duty truck suspension with regular inspections, proper lubrication, and timely replacements of worn parts like shocks and bushings. Stay safe, save costs.","174","","","9","0","BlogPosting","21","32459"
"/articles/welcome-to-our-article-section","200","Introductory Article","20","Introductory Article","As diesel repair experts, we understand the importance of staying informed and educated on the latest advancements in diesel repair, maintenance, and technology.","161","","","9","0","BlogPosting","21","30794"
"/company/about","200","About Us | EagleSpan Corporation","32","About EagleSpan Corportation","EagleSpan Corporation provides professional heavy-duty truck & fleet repair services from our repair shop in Charlotte, NC. Call now for service!","145","","","41","0","","21","47161"
"/company/articles","200","Articles | EagleSpan Corporation","32","Our Articles","Visit our blog page for diesel repair tips, industry updates, & just about anything diesel related!","99","","","41","0","","28","51749"
